x1,y1,x2,y2,x3,y3
0.0,0.0,149147399978.4458,12319396864.791418,148723715657.87433,12702451827.981262
0.0,0.0,149141220125.04507,12426352274.251774,148713841303.43317,12809389985.919735
0.0,0.0,149134986730.585,12533303261.286718,148703913140.30658,12916323548.072556
0.0,0.0,149128699800.1643,12640249787.741312,148693931171.3107,13023252475.684042
0.0,0.0,149122359338.92514,12747191815.468382,148683895399.30643,13130176730.001274
0.0,0.0,149115965352.05298,12854129306.328592,148673805827.19928,13237096272.274153
0.0,0.0,149109517844.77664,12961062222.190504,148663662457.9395,13344011063.75548
0.0,0.0,149103016822.36826,13067990524.93064,148653465294.52213,13450921065.701015
0.0,0.0,149096462290.14328,13174914176.433552,148643214339.98676,13557826239.369558
0.0,0.0,149089854253.4604,13281833138.59189,148632909597.41776,13664726546.023006
0.0,0.0,149083192717.72162,13388747373.306458,148622551069.94412,13771621946.926422
0.0,0.0,149076477688.37222,13495656842.486284,148612138760.7396,13878512403.348112
0.0,0.0,149069709170.90063,13602561508.04869,148601672673.02255,13985397876.559685
0.0,0.0,149062887170.83862,13709461331.91935,148591152810.05606,14092278327.836126
0.0,0.0,149056011693.76108,13816356276.032354,148580579175.14786,14199153718.455864
0.0,0.0,149049082745.28607,13923246302.330278,148569951771.6503,14306024009.700836
0.0,0.0,149042100331.0749,14030131372.764248,148559270602.96048,14412889162.856565
0.0,0.0,149035064456.832,14137011449.294,148548535672.52005,14519749139.212217
0.0,0.0,149027975128.3049,14243886493.887953,148537746983.81543,14626603900.060677
0.0,0.0,149020832351.2843,14350756468.523262,148526904540.3776,14733453406.698614
0.0,0.0,149013636131.60394,14457621335.185894,148516008345.78217,14840297620.426554
0.0,0.0,149006386475.14072,14564481055.870687,148505058403.64944,14947136502.54894
0.0,0.0,148999083387.8145,14671335592.581417,148494054717.64435,15053970014.37421
0.0,0.0,148991726875.58835,14778184907.33086,148482997291.47638,15160798117.214859
0.0,0.0,148984316944.46817,14885028962.140858,148471886128.8997,15267620772.387506
0.0,0.0,148976853600.50302,14991867719.042381,148460721233.71298,15374437941.21297
0.0,0.0,148969336849.78488,15098701140.075598,148449502609.75964,15481249585.016335
0.0,0.0,148961766698.44873,15205529187.289932,148438230260.9276,15588055665.127008
0.0,0.0,148954143152.67252,15312351822.744135,148426904191.14944,15694856142.878807
0.0,0.0,148946466218.6771,15419169008.50634,148415524404.40225,15801650979.610012
0.0,0.0,148938735902.72623,15525980706.654137,148404090904.70776,15908440136.66344
0.0,0.0,148930952211.12662,15632786879.274628,148392603696.13223,16015223575.386517
0.0,0.0,148923115150.2278,15739587488.464497,148381062782.7865,16122001257.131336
0.0,0.0,148915224726.42224,15846382496.330072,148369468168.82596,16228773143.25474
0.0,0.0,148907280946.14514,15953171864.98739,148357819858.4506,16335539195.118376
0.0,0.0,148899283815.8746,16059955556.562258,148346117855.90485,16442299374.08877
0.0,0.0,148891233342.13156,16166733533.19032,148334362165.47775,16549053641.537394
0.0,0.0,148883129531.4796,16273505757.01712,148322552791.50287,16655801958.840734
0.0,0.0,148874972390.52524,16380272190.198168,148310689738.35825,16762544287.380362
0.0,0.0,148866761925.91757,16487032794.898998,148298773010.4665,16869280588.542997
0.0,0.0,148858498144.34848,16593787533.295238,148286802612.29468,16976010823.720577
