x1,y1,x2,y2,x3,y3
0.0,0.0,149420369835.225,4930729619.807769,149251076324.3056,5314523598.168229
0.0,0.0,149416832760.444,5037880516.8692875,149243856604.1376,5421665278.129212
0.0,0.0,149413218821.98535,5145028877.502819,149236559866.4786,5528804215.652122
0.0,0.0,149409528021.726,5252174646.590559,149229186109.84998,5635940355.259966
0.0,0.0,149405760361.5825,5359317769.01609,149221735332.81287,5743073641.469685
0.0,0.0,149401915843.51068,5466458189.664408,149214207533.96838,5850204018.792176
0.0,0.0,149397994469.50607,5573595853.421951,149206602711.9576,5957331431.732324
0.0,0.0,149393996241.60358,5680730705.17663,149198920865.46146,6064455824.789026
0.0,0.0,149389921161.87766,5787862689.817852,149191161993.20087,6171577142.455227
0.0,0.0,149385769232.44226,5894991752.236553,149183326093.9367,6278695329.217938
0.0,0.0,149381540455.4508,6002117837.325224,149175413166.46982,6385810329.558275
0.0,0.0,149377234833.09622,6109240889.977939,149167423209.64102,6492922087.95148
0.0,0.0,149372852367.61093,6216360855.0903845,149159356222.3311,6600030548.86695
0.0,0.0,149368393061.26678,6323477677.559888,149151212203.46088,6707135656.7682705
0.0,0.0,149363856916.3752,6430591302.285445,149142991151.99118,6814237356.113238
0.0,0.0,149359243935.28708,6537701674.167748,149134693066.92288,6921335591.353892
0.0,0.0,149354554120.39273,6644808738.109214,149126317947.29688,7028430306.936542
0.0,0.0,149349787474.12204,6751912439.014013,149117865792.1941,7135521447.301796
0.0,0.0,149344943998.94434,6859012721.788098,149109336600.7355,7242608956.884591
0.0,0.0,149340023697.36844,6966109531.3392315,149100730372.0822,7349692780.11422
0.0,0.0,149335026571.94263,7073202812.577013,149092047105.43536,7456772861.414358
0.0,0.0,149329952625.25467,7180292510.4129095,149083286800.0362,7563849145.203095
0.0,0.0,149324801859.9318,7287378569.7602825,149074449455.16608,7670921575.892963
0.0,0.0,149319574278.64078,7394460935.534416,149065535070.14645,7777990097.8909645
0.0,0.0,149314269884.08783,7501539552.652546,149056543644.33896,7885054655.598599
0.0,0.0,149308888679.0186,7608614366.033885,149047475177.1453,7992115193.411897
0.0,0.0,149303430666.21823,7715685320.599658,149038329668.0074,8099171655.72144
0.0,0.0,149297895848.51138,7822752361.273122,149029107116.4073,8206223986.912399
0.0,0.0,149292284228.76215,7929815432.979601,149019807521.86722,8313272131.364556
0.0,0.0,149286595809.87408,8036874480.646509,149010430883.9496,8420316033.452337
0.0,0.0,149280830594.79022,8143929449.203382,149000977202.25702,8527355637.54484
0.0,0.0,149274988586.49304,8250980283.581904,148991446476.43228,8634390888.00586
